ds,yhat,yhat_lower,yhat_upper
2024-02-14 18:30:00,21923.177337893656,21481.766689453147,22356.105235178078
2024-02-15 18:30:00,21994.872182492407,21570.770868400483,22397.476641329158
2024-02-18 18:30:00,22010.545312184222,21617.01561059589,22459.372946335483
2024-02-19 18:30:00,21962.113909835512,21540.519411043962,22430.287291209246
2024-02-20 18:30:00,21964.81000340399,21555.482193218537,22357.96118800128
2024-02-21 18:30:00,21982.3826437093,21568.53299982185,22403.32002395653
2024-02-22 18:30:00,22054.077488308132,21632.281919172925,22477.73565118708
2024-02-25 18:30:00,22069.750618000107,21649.07975177065,22493.5043785903
2024-02-26 18:30:00,22021.319215651372,21591.006625235757,22467.88443461484
2024-02-27 18:30:00,22022.262852179363,21607.94101996244,22452.97588927477
2024-02-28 18:30:00,22038.08303544429,21589.076662865813,22452.969859653396
2024-02-29 18:30:00,22108.02542300267,21710.142405185266,22523.27489507546
2024-03-03 18:30:00,22118.441181573176,21688.397210151263,22535.01112469342
2024-03-04 18:30:00,22068.257322183865,21659.319474398242,22498.37507862408
2024-03-05 18:30:00,22069.200958712005,21617.21134968355,22529.711634383126
2024-03-06 18:30:00,22085.021141976926,21663.17606730817,22533.046311320017
2024-03-10 18:30:00,22165.379288105836,21760.21309444449,22590.806038767827
2024-03-11 18:30:00,22114.11355103617,21682.56300905703,22541.016741328796
2024-03-12 18:30:00,22113.97530988396,21658.69629488068,22533.281273017226
2024-03-13 18:30:00,22128.713615468627,21668.40557942705,22542.13485071302
2024-03-14 18:30:00,22197.57412534659,21769.42713451616,22606.990651515658
2024-03-17 18:30:00,22204.744250876083,21772.672653164278,22660.650333879064
2024-03-18 18:30:00,22153.478513806436,21703.268641943177,22576.77363660374
2024-03-19 18:30:00,22153.340272654284,21718.77502305111,22608.484564780643
2024-03-20 18:30:00,22168.07857823896,21754.8610862924,22610.51684298162
2024-03-21 18:30:00,22236.83648809235,21798.413308772055,22669.711623293028
2024-03-25 18:30:00,22192.330476454288,21770.627505769095,22617.20947277034
2024-03-26 18:30:00,22192.08963527742,21764.246283173878,22613.21615871591
2024-03-27 18:30:00,22206.72534083767,21782.552261934507,22623.633271291306
2024-03-31 18:30:00,22282.345576146843,21838.312447308952,22655.83785655118
2024-04-01 18:30:00,22230.977239052838,21788.934706467982,22670.92262942041
2024-04-02 18:30:00,22230.73639787603,21813.20664569684,22678.784124689002
2024-04-03 18:30:00,22245.37210343629,21818.671701398667,22667.554583562953
2024-04-04 18:30:00,22314.06252063989,21893.484414680624,22747.892589121137
2024-04-07 18:30:00,22320.72236814677,21910.208248556257,22718.50418009718
2024-04-08 18:30:00,22269.286538402845,21831.993554402605,22715.163136064628
2024-04-09 18:30:00,22268.978204576382,21854.457553325497,22706.874178278624
2024-04-11 18:30:00,22352.236834690564,21921.62641340379,22778.969406654083
2024-04-14 18:30:00,22358.89668219734,21925.752748719653,22775.586588379047
2024-04-15 18:30:00,22307.460852453678,21884.694217855224,22754.588951536
2024-04-17 18:30:00,22321.720736342002,21916.552099952354,22766.010660742046
2024-04-18 18:30:00,22390.41115594792,21923.81777946419,22817.591756684455
2024-04-21 18:30:00,22397.071010661646,21957.928709467495,22820.608029067236
2024-04-22 18:30:00,22345.63518332029,21915.676916164473,22756.664660864993
2024-04-23 18:30:00,22345.32685189591,21919.381758889616,22732.678307789603
2024-04-24 18:30:00,22359.89506720866,21953.812962963068,22785.285841725192
2024-04-25 18:30:00,22428.585486814587,21981.851605681233,22854.10302484571
2024-04-28 18:30:00,22435.24534152828,21989.251926731333,22869.903154795255
2024-04-29 18:30:00,22383.80951415201,21961.416317892512,22811.956676081154
2024-05-01 18:30:00,22398.069397971027,21988.95402689102,22813.402943234894
2024-05-02 18:30:00,22466.759817542163,22015.032779656147,22903.40830674506
2024-05-05 18:30:00,22473.419672151686,22081.91325568366,22923.554417287753
2024-05-06 18:30:00,22421.983844775386,22019.35543904919,22846.89765847044
2024-05-07 18:30:00,22421.675513316386,22005.606905301098,22843.921131330673
2024-05-08 18:30:00,22436.243728594243,22027.77452380942,22861.15991750881
2024-05-09 18:30:00,22504.9341481656,22101.787567950018,22882.457654182992
2024-05-12 18:30:00,22547.140603892134,22104.189738266505,22968.58264768912
2024-05-13 18:30:00,22507.55364355482,22090.93693070226,22925.608614163717
2024-05-14 18:30:00,22519.094179134903,22092.35100087929,22954.895087610665
