Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Change_%,7_Day_MA,30_Day_MA,Volatility
2023-12-19 00:00:00+05:30,21477.650390625,21505.05078125,21337.75,21453.099609375,249800,0.0,0.0,,,,
2023-12-20 00:00:00+05:30,21543.5,21593.0,21087.349609375,21150.150390625,363900,0.0,0.0,-1.412146609423337,,,
2023-12-21 00:00:00+05:30,21033.94921875,21288.349609375,20976.80078125,21255.05078125,277500,0.0,0.0,0.49597940765233606,,,
2023-12-22 00:00:00+05:30,21295.849609375,21390.5,21232.44921875,21349.400390625,284700,0.0,0.0,0.44389265566107117,,,
2023-12-26 00:00:00+05:30,21365.19921875,21477.150390625,21329.44921875,21441.349609375,219500,0.0,0.0,0.43068759341071683,,,
2023-12-27 00:00:00+05:30,21497.650390625,21675.75,21495.80078125,21654.75,256500,0.0,0.0,0.9952749920727699,,,
2023-12-28 00:00:00+05:30,21715.0,21801.44921875,21678.0,21778.69921875,393100,0.0,0.0,0.5723881307796219,21440.35714285714,,218.87384129749958
2023-12-29 00:00:00+05:30,21737.650390625,21770.30078125,21676.900390625,21731.400390625,270900,0.0,0.0,-0.21717930740454694,21480.114397321428,,245.25968450687677
2024-01-01 00:00:00+05:30,21727.75,21834.349609375,21680.849609375,21741.900390625,154000,0.0,0.0,0.048317180721269004,21564.65011160714,,212.3462301339813
2024-01-02 00:00:00+05:30,21751.349609375,21755.599609375,21555.650390625,21665.80078125,263700,0.0,0.0,-0.3500136051024061,21623.328683035714,,163.718772141949
2024-01-03 00:00:00+05:30,21661.099609375,21677.0,21500.349609375,21517.349609375,311900,0.0,0.0,-0.685186637566948,21647.321428571428,,124.49117098048026
2024-01-04 00:00:00+05:30,21605.80078125,21685.650390625,21564.55078125,21658.599609375,339200,0.0,0.0,0.6564470186349425,21678.35714285714,,85.5848585159081
2024-01-05 00:00:00+05:30,21705.75,21749.599609375,21629.19921875,21710.80078125,309300,0.0,0.0,0.24101822286055619,21686.364397321428,,85.63010340317085
2024-01-08 00:00:00+05:30,21747.599609375,21763.94921875,21492.900390625,21513.0,231500,0.0,0.0,-0.911070868564301,21648.407366071428,,96.12442380772883
2024-01-09 00:00:00+05:30,21653.599609375,21724.44921875,21517.849609375,21544.849609375,228600,0.0,0.0,0.14804820050666745,21621.757254464286,,95.13516421469504
2024-01-10 00:00:00+05:30,21529.30078125,21641.849609375,21448.650390625,21618.69921875,217000,0.0,0.0,0.34277152411805734,21604.157087053572,,79.27884752215196
2024-01-11 00:00:00+05:30,21688.0,21726.5,21593.75,21647.19921875,212500,0.0,0.0,0.13183031833516878,21601.49972098214,,77.1514343054949
2024-01-12 00:00:00+05:30,21773.55078125,21928.25,21715.150390625,21894.55078125,294700,0.0,0.0,1.1426492637705898,21655.385602678572,,125.29028148635436
2024-01-15 00:00:00+05:30,22053.150390625,22115.55078125,21963.55078125,22097.44921875,345500,0.0,0.0,0.9267074694848665,21718.07840401786,,208.99885456078084
2024-01-16 00:00:00+05:30,22080.5,22124.150390625,21969.80078125,22032.30078125,292400,0.0,0.0,-0.29482333845447517,21764.006975446428,,240.13878976274367
2024-01-17 00:00:00+05:30,21647.25,21851.5,21550.44921875,21571.94921875,456000,0.0,0.0,-2.0894393512082443,21772.428292410714,,230.71811091347695
2024-01-18 00:00:00+05:30,21414.19921875,21539.400390625,21285.55078125,21462.25,387300,0.0,0.0,-0.5085271508735612,21760.628348214286,,245.9095109825924
2024-01-19 00:00:00+05:30,21615.19921875,21670.599609375,21575.0,21622.400390625,343100,0.0,0.0,0.746195718645537,21761.157087053572,,245.55720958182724
