ds,yhat,yhat_lower,yhat_upper
2023-12-19 05:00:00,101.46504889899637,100.89084245556722,102.01807550807409
2023-12-20 05:00:00,101.53587874198357,100.93695277065648,102.14072648676037
2023-12-21 05:00:00,101.56304703496966,101.00516824041235,102.1071891915862
2023-12-22 05:00:00,101.62695442641854,101.06365607690792,102.21025603064501
2023-12-26 05:00:00,101.83576766142855,101.25974153811141,102.43191172795649
2023-12-27 05:00:00,101.9065975044167,101.36941416076208,102.5080247986442
2023-12-28 05:00:00,101.9337657974028,101.38147208748326,102.53897773739182
2023-12-29 05:00:00,101.99767318885155,101.4266398022598,102.54413692144065
2024-01-02 05:00:00,102.20648642386156,101.61588650750558,102.71101811734185
2024-01-03 05:00:00,102.27743491602133,101.69138836747673,102.86841268282788
2024-01-04 05:00:00,102.3047218581795,101.71766614668296,102.91186206950808
2024-01-05 05:00:00,102.36874789879916,101.80791322041954,102.93158544467889
2024-01-08 05:00:00,102.49413965877541,101.89418551853568,103.09895944034055
2024-01-09 05:00:00,102.57803573050018,101.98593645825156,103.12209060683482
2024-01-10 05:00:00,102.64898422265982,102.10576161625605,103.25124777750719
2024-01-11 05:00:00,102.6762711648178,102.08723362074564,103.25780148915584
2024-01-12 05:00:00,102.74029720543788,102.19639138975874,103.3652577969208
2024-01-16 05:00:00,102.94958508231724,102.36237740276526,103.57065634579993
2024-01-17 05:00:00,103.02053358577096,102.4649020309958,103.59590125318965
2024-01-18 05:00:00,103.04782053922341,102.45955733221861,103.66418038535872
2024-01-19 05:00:00,103.11184659113877,102.51112342121667,103.71955900533868
2024-01-22 05:00:00,103.23723838499828,102.68183916598932,103.84128874283557
2024-01-23 05:00:00,103.32113446801739,102.71425717655954,103.90082363749313
2024-01-24 05:00:00,103.39208297147206,102.83675939748066,103.94715845405196
2024-01-25 05:00:00,103.41936992492407,102.85984105502733,104.05488765641373
2024-01-26 05:00:00,103.48339597746278,102.87432730579015,104.08847071453171
2024-01-29 05:00:00,103.60878777319107,103.02672999838187,104.1651083606339
2024-01-30 05:00:00,103.692683856833,103.11628277331694,104.2736930709105
2024-01-31 05:00:00,103.76363236090928,103.15778193031086,104.35011972604053
2024-02-01 05:00:00,103.79091931498559,103.18286526027056,104.32342235535951
2024-02-02 05:00:00,103.85494536752209,103.29158281127505,104.45683318226519
2024-02-05 05:00:00,103.98033716325182,103.37912048905285,104.61628531980047
2024-02-06 05:00:00,104.06423324689271,103.48073241789464,104.63758923245642
2024-02-07 05:00:00,104.10009753262361,103.48032326284762,104.68603564414053
2024-02-08 05:00:00,104.09230026835223,103.5016027886912,104.67006653736891
2024-02-09 05:00:00,104.12124210254186,103.55649096421926,104.72948434881651
2024-02-12 05:00:00,104.14138124322994,103.61635551459031,104.73513221463169
2024-02-13 05:00:00,104.19019310852417,103.61943058559773,104.81337892875155
2024-02-14 05:00:00,104.22605739425433,103.66285937422104,104.85323606925859
2024-02-15 05:00:00,104.21826012998204,103.64289654760964,104.78587938423688
2024-02-16 05:00:00,104.24720196417246,103.68074231848038,104.85015946856005
2024-02-20 05:00:00,104.08295341903849,103.51884054931176,104.64832655484949
2024-02-21 05:00:00,104.06051781699001,103.5252167473512,104.63302530173858
2024-02-22 05:00:00,103.99442066493961,103.41278029490489,104.57215773030056
2024-02-23 05:00:00,103.96506261135103,103.40640102613635,104.54392598004874
2024-02-26 05:00:00,103.81030208870112,103.2334356009575,104.37768740048304
2024-02-27 05:00:00,103.80081406621707,103.20507098940335,104.39468457537994
2024-02-28 05:00:00,103.77837846416918,103.20321564157548,104.35821474591746
2024-02-29 05:00:00,103.71228131211781,103.1364374052713,104.2791776857551
2024-03-01 05:00:00,103.68292325544519,103.13100331949654,104.26302697245495
2024-03-04 05:00:00,103.52816272354222,102.95797239995281,104.0780127699876
2024-03-05 05:00:00,103.51867469797352,102.91413758046713,104.0987368446899
2024-03-06 05:00:00,103.49623909283987,102.93936587855475,104.04630127231977
2024-03-07 05:00:00,103.4301419377055,102.80903475807222,104.02380954767897
2024-03-08 05:00:00,103.40078388103286,102.80528364117042,103.94753664178884
2024-03-11 04:00:00,103.2455813280576,102.6750704754053,103.8379549763622
2024-03-12 04:00:00,103.24167957353251,102.65252776323535,103.81922689582073
2024-03-13 04:00:00,103.31858612564581,102.72511865305493,103.92191441558772
2024-03-14 04:00:00,103.37829472761607,102.77690420235501,103.9330214545076
2024-03-15 04:00:00,103.42550721700925,102.81048326439324,104.00604274674062
2024-03-18 04:00:00,103.61751158137281,103.05482418514707,104.21497934561668
2024-03-19 04:00:00,103.72262143146975,103.11623608089118,104.29378459444806
2024-03-20 04:00:00,103.79952798358097,103.23014917581433,104.37279651379977
2024-03-21 04:00:00,103.85923658555213,103.28995670469122,104.42944176910903
2024-03-22 04:00:00,103.90644907494364,103.34231170607276,104.52161084370461
2024-03-25 04:00:00,104.09845342942151,103.47915132512081,104.66275625868275
2024-03-26 04:00:00,104.20356327622177,103.60227212091492,104.74578940578289
2024-03-27 04:00:00,104.28046982503957,103.70812879596406,104.84511889954832
2024-03-28 04:00:00,104.34017842371422,103.74134252114295,104.88957568699962
2024-04-01 04:00:00,104.57939526428757,104.00696601766505,105.12296393125376
2024-04-02 04:00:00,104.68450511108941,104.1002841725379,105.24664651780229
2024-04-03 04:00:00,104.76141165990579,104.20369457786524,105.34655709429087
2024-04-04 04:00:00,104.82112025858031,104.24350503054686,105.41588819413424
2024-04-05 04:00:00,104.8683327504144,104.32070945396086,105.4172691023043
2024-04-08 04:00:00,105.06033712210214,104.44646292478843,105.65762292970439
2024-04-09 04:00:00,105.16544697464101,104.56855790077303,105.77821637349358
2024-04-10 04:00:00,105.24235352919546,104.6943289809924,105.81770572045443
2024-04-11 04:00:00,105.30206213360702,104.73101722210747,105.87823959028823
2024-04-12 04:00:00,105.34927462543908,104.78063145246576,105.93883078279624
2024-04-15 04:00:00,105.54127899712894,105.0030072883924,106.14005702526174
2024-04-16 04:00:00,105.64638884966773,105.07871404764272,106.2187209209681
2024-04-17 04:00:00,105.66044202336238,105.11549633451581,106.27200024221335
2024-04-18 04:00:00,105.65729724691371,105.08908452686059,106.26000787760788
2024-04-19 04:00:00,105.64165635788619,105.0491625329995,106.21850808723515
2024-04-22 04:00:00,105.64510058699483,105.06226213319594,106.18970319585496
2024-04-23 04:00:00,105.68735705867441,105.10019492756342,106.28680460820048
2024-04-24 04:00:00,105.70141023236872,105.15353199506296,106.29038099871839
2024-04-25 04:00:00,105.69826545592095,105.0990509088004,106.28280779113437
2024-04-26 04:00:00,105.68262456689378,105.06913721424398,106.24135727255634
2024-04-29 04:00:00,105.56377464438825,104.97398475156518,106.17607401012177
2024-04-30 04:00:00,105.56526639886154,104.95293204951916,106.11755964092318
2024-05-01 04:00:00,105.53855485535084,104.96873426991465,106.12709958871518
2024-05-02 04:00:00,105.49464536169714,104.89741397329848,106.08002296529152
2024-05-03 04:00:00,105.4382397554656,104.8718975310397,106.02282720954705
2024-05-06 04:00:00,105.31938983295848,104.74229710040404,105.89342961115399
2024-05-07 04:00:00,105.32088158743252,104.73497087669834,105.9221744233894
2024-05-08 04:00:00,105.29417004392207,104.76243692360683,105.86493006756702
2024-05-09 04:00:00,105.25026054951684,104.66425686896068,105.83610226964728
2024-05-10 04:00:00,105.19385494253225,104.59657994884924,105.7861368809132
2024-05-13 04:00:00,105.0750050177675,104.53357464967343,105.68728773808395
2024-05-14 04:00:00,105.07649677148885,104.53363658101271,105.6398170928132
2024-05-15 04:00:00,105.04978522722561,104.45205003741762,105.6300598046785
2024-05-16 04:00:00,105.00587573282023,104.43217054489371,105.60028731148026
2024-05-17 04:00:00,104.94947012583603,104.35991187742661,105.54363840149742
2024-05-20 04:00:00,104.83062020107157,104.23392502594257,105.41698786877633
2024-05-21 04:00:00,104.83211195479174,104.23845718044146,105.45222920542851
2024-05-22 04:00:00,104.82716800892766,104.22770709721303,105.38763944157427
2024-05-23 04:00:00,104.80502611292135,104.20827396799015,105.3369262040945
2024-05-24 04:00:00,104.77038810433639,104.18189989793832,105.35107541946923
2024-05-28 04:00:00,104.74010032688847,104.11805592800437,105.30765937855153
2024-05-29 04:00:00,104.73515638102363,104.13989359777588,105.28024775682458
2024-05-30 04:00:00,104.71301448501652,104.10991011304475,105.33930493720125
2024-05-31 04:00:00,104.67837647643027,104.07011924791625,105.24278308922652
2024-06-03 04:00:00,104.62482934686297,104.07375582009097,105.21070543255102
2024-06-04 04:00:00,104.70303827642712,104.1482498908935,105.27248876034206
2024-06-05 04:00:00,104.75304390800615,104.17088679500105,105.32438148705835
2024-06-06 04:00:00,104.78585158944252,104.21952090632074,105.37696972453824
2024-06-07 04:00:00,104.80616315830059,104.22484709185238,105.38637688516025
2024-06-10 04:00:00,104.9174647610642,104.31644436867562,105.45497154586545
2024-06-11 04:00:00,104.99567369062736,104.4194536294322,105.59590320309493
2024-06-12 04:00:00,105.0456793222071,104.4854888050763,105.64053429738846
2024-06-13 04:00:00,105.0784870036433,104.46575971182776,105.63750616914481
2024-06-14 04:00:00,105.09879856771174,104.51223560293623,105.63146878328428
2024-06-17 04:00:00,105.21010015610534,104.63757223554066,105.80894887531375
2024-06-18 04:00:00,105.28830908087836,104.69057600908097,105.88636137832927
2024-06-20 04:00:00,105.37112238431389,104.79075629860017,105.94032284785449
2024-06-21 04:00:00,105.3914339483827,104.79023667565781,105.948000946361
2024-06-24 04:00:00,105.50273553677556,104.8978182983849,106.0911930809874
2024-06-25 04:00:00,105.58094446154934,105.0073214162863,106.19667082580098
2024-06-26 04:00:00,105.63095008833791,105.03842472529894,106.19150564014134
2024-06-27 04:00:00,105.57130165968582,104.99864622577917,106.12022895095188
2024-06-28 04:00:00,105.49915711845537,104.89023043746495,106.12129133331563
2024-07-01 04:00:00,105.33309039095002,104.7415140397377,105.89892117658164
2024-07-02 04:00:00,105.31884321042453,104.71467617144569,105.91823141826896
2024-07-03 04:00:00,105.27639273191421,104.70827646054586,105.81709287381038
2024-07-05 04:00:00,105.14459976203227,104.58179303837292,105.72790003464794
2024-07-08 04:00:00,104.97853303452725,104.39670894965401,105.56685826315531
2024-07-09 04:00:00,104.96428585400133,104.38126786599574,105.55254192891012
2024-07-10 04:00:00,104.9218353606242,104.3224089869686,105.4939421300904
2024-07-11 04:00:00,104.86218691710492,104.28571490677454,105.4358004509638
2024-07-12 04:00:00,104.79004236100826,104.22282283993479,105.40202990666954
2024-07-15 04:00:00,104.6239755889024,104.0100432064874,105.19428345121625
2024-07-16 04:00:00,104.60972839350862,104.03356059024645,105.16238120660951
2024-07-17 04:00:00,104.56727790013174,103.99290409767922,105.14659224055205
2024-07-18 04:00:00,104.50762945661234,103.94013556009688,105.12877326885446
2024-07-19 04:00:00,104.43548490051437,103.86436228949073,105.0228753210085
2024-07-22 04:00:00,104.26941812696553,103.72317317405252,104.8611970654482
